aam a dutch and german measure of liquids varying in different cities being at amsterdam about  wine gallons at antwerp   at hamburg
antecedency	the state or condition of being antecedent priority
antechamber	a chamber or apartment before the chief apartment and leading into it in which persons wait for audience an outer chamber see lobby
antedate	prior date a date antecedent to another which is the actual date
anteflexion	a displacement forward of an organ esp the uterus in such manner that its axis is bent upon itself
anteriority	the state of being anterior or preceding in time or in situation priority
antestomach	a cavity which leads into the stomach as in birds
anthelion	a halo opposite the sun consisting of a colored ring or rings around the shadow of the spectators own head as projected on a cloud or on an opposite fog bank
anther	that part of the stamen containing the pollen or fertilizing dust which when mature is emitted for the impregnation of the ovary
antherozooid	one of the mobile male reproductive bodies in the antheridia of cryptogams
anthokyan	the blue coloring matter of certain flowers same as cyanin
anthophyllite	a mineral of the hornblende group of a yellowish gray or clove brown color
anthracometer	an instrument for measuring the amount of carbonic acid in a mixture
anthropometry	measurement of the height and other dimensions of human beings especially at different ages or in different races occupations etc
anthropomorphite	one who ascribes a human form or human attributes to the deity or to a polytheistic deity taylor specifically one of a sect of ancient heretics who believed that god has a human form etc tillotson
anthropomorphosis	transformation into the form of a human being
antiar	a virulent poison prepared in java from the gum resin of one species of the upas tree antiaris toxicaria
antibacchius	a foot of three syllables the first two long and the last short
antibrachium	that part of the fore limb between the brachium and the carpus the forearm
anticathode	the part of a vacuum tube opposite the cathode upon it the cathode rays impinge
antichristianity	opposition or contrariety to the christian religion
anticivism	opposition to the body politic of citizens
anticor	a dangerous inflammatory swelling of a horses breast just opposite the heart
antifederalist	one of party opposed to a federative government  applied particularly to the party which opposed the adoption of the constitution of the united states
antiguggler	a crooked tube of metal to be introduced into the neck of a bottle for drawing out the liquid without disturbing the sediment or causing a gurgling noise
antimere	one of the two halves of bilaterally symmetrical animals one of any opposite symmetrical or homotypic parts in animals and plants
antimeter	a modification of the quadrant for measuring small angles
antipathy	contrariety or opposition in feeling settled aversion or dislike repugnance distaste
antiphony	a musical response also antiphonal chanting or signing
antipodes	those who live on the side of the globe diametrically opposite
antipyrine	an artificial alkaloid believed to be efficient in abating fever
antiquity	the quality of being ancient ancientness great age as a statue of remarkable antiquity a family of great antiquity
antiseptic	a substance which prevents or retards putrefaction or destroys or protects from putrefactive organisms as salt carbolic acid alcohol cinchona
antitrochanter	an articular surface on the ilium of birds against which the great trochanter of the femur plays
